Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
2872,2021-11-01T18:07:53+00:00,So I barely have to take the train because my commute doesn’t work that way. But I’m about to start jumping on the @cta for joy rides just because. 💙💛 @chicagosky https://t.co/ANTSo5CZBF,1455235160937467910,Zaida DeGuzman,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,171,217,1,barely take train commute ’ work way ’ start jumping cta joy rides 💙💛 chicagosky,so i barely hav to tak the train becaus my commut doesn ’ t work that way but i ’ m about to start jump on the cta for joy ride just becaus 💙💛 chicagosky,"['blue_heart', 'yellow_heart']"
3475,2021-11-01T16:58:15+00:00,Sekiwe Mahlangu has the sweetest mother. Mama Ndileka is such a joy!,1455217634232971269,Devinity,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,233,181,1,sekiwe mahlangu sweetest mother mama ndileka joy,sekiw mahlangu has the sweetest mother mama ndileka is such a joy,[]
4296,2021-11-01T15:31:00+00:00,"It brings me no joy to destroy my wife in our matchup this week, but I also didn’t wanna fall under .500. Sorry not sorry 😅😶‍🌫️ #NFL #FantasyFootball @YahooFantasy https://t.co/G2PL0BhXKm",1455195676200116228,David Ruiz,0,1,3,0,"[-87.805698, 41.8650062]","Oak Park, IL","['NFL', 'FantasyFootball']",1462,2856,1,brings joy destroy wife matchup week also ’ wan na fall 500 sorry sorry 😅😶‍🌫️ nfl fantasyfootball yahoofantasy,it bring me no joy to destroy my wif in our matchup thi week but i also didn ’ t wan na fall under 500 sorry not sorry 😅😶‍🌫️ nfl fantasyfootball yahoofantasy,"['grinning_face_with_sweat', 'face_in_clouds']"
4862,2021-11-01T14:28:44+00:00,"Chicago ✈NYC for #NFTNYC2021 

Meeting FAM IRL for @NFT_NYC &amp; beyond. The Happy Little Hypebeast event w/ @ARTZisArtsy &amp; the Dreamers gonna be off the ⛓ 

The ""Joy of Minting"" is live https://t.co/yDthkPMtEI 
https://t.co/cxw9BDS2Iv https://t.co/HqthaDYkhj",1455180007303753736,J.J. Weinberg,5,3,15,0,"[-87.74228811264038, 41.78763300835753]",Chicago Midway International Airport (MDW),['NFTNYC2021'],1174,1154,1,chicago ✈nyc nftnyc2021 meeting fam irl nftnyc amp beyond happy little hypebeast event w artzisartsy amp dreamers gon na ⛓ joy minting live,chicago ✈nyc for nftnyc2021 meet fam irl for nftnyc amp beyond the happy littl hypebeast event w artzisartsy amp the dreamer gon na be off the ⛓ the joy of mint is liv,"['airplane', 'chains']"
5449,2021-11-01T12:53:12+00:00,7:39 am. There’s still an Almond Joy left down the street. No one wants Almond Joy. https://t.co/WBEQK0StrY,1455155964601114627,Caffeinated and Boosted Carmin,2,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",0,1448,4994,1,739 ’ still almond joy left street one wants almond joy,739 am ther ’ s still an almond joy left down the street no one want almond joy,[]
6988,2021-11-01T03:17:35+00:00,"Last Night in SoHo was a banger! Incredibly dazzling cinematography and sound mixing, Anya Taylor-Joy stole the show. Truly thrilling. I'm glad movies are becoming good again.",1455011109384097797,MAXVVELL🪐,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,340,663,1,last night soho banger incredibly dazzling cinematography sound mixing anya taylorjoy stole show truly thrilling im glad movies becoming good,last night in soho was a banger incredibly dazzl cinematography and sound mix anya taylorjoy stol the show truly thrill im glad movie are becom good again,[]
7675,2021-11-01T02:08:27+00:00,"The worst Halloween  candy is Bit-O-Honey, this isn’t even controversial. Second worst is Almond Joy and Mounds, also not controversial.",1454993709309759499,Monocleman1.eth,28,0,45,0,"[-87.8615841, 41.805304]","Brookfield, IL",0,5808,5996,1,worst halloween candy bitohoney ’ even controversial second worst almond joy mounds also controversial,the worst halloween candy is bitohoney thi isn ’ t even controversial second worst is almond joy and mound also not controversial,[]
8196,2021-11-01T01:17:41+00:00,"total of 4 events this weekend to bring joy through candy...in some of these childrens eyes I saw the weight of the world....but in the same kids,as well as, others....I saw candy lift the weight for a moment...and that....that moment...made it all worth it",1454980932256022528,Pastor Donovan Price,6,7,61,0,"[-87.940033, 41.644102]","Chicago, IL",0,4408,5001,1,total 4 events weekend bring joy childrens eyes saw weight kidsas well othersi saw candy lift weight worth,total of 4 event thi weekend to br joy through som of thes children eye i saw the weight of the in the sam kidsa well as othersi saw candy lift the weight for a it all worth it,[]
9885,2021-11-02T22:29:38+00:00,@thesageRR3 Pure joy. https://t.co/I998colwzR,1455663419852472326,Alexis,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1951,895,1,thesagerr3 pure joy,thesagerr3 pur joy,[]
13345,2021-11-02T15:48:11+00:00,I am blessed to have south facing windows in my apartment. Waking up to these orange and pink sunrises at around 7am every day these past few weeks and just looking at the sky while lying in bed floods me with inner peace and joy. https://t.co/Jr8AgRQnIV,1455562390737719300,Emma GZ R 📍🗺️✨,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,708,503,1,blessed south facing windows apartment waking orange pink sunrises around 7am every day past weeks looking sky lying bed floods inner peace joy,i am blessed to hav south fac window in my apartment wak up to thes orang and pink sunrise at around 7am every day thes past few week and just look at the sky whil ly in bed flood me with inner peac and joy,[]
