Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
1008,2021-05-01T21:49:06+00:00,The Staff @ Obama Learning Academy is 2nd to none! Thank you for the BOLA love and thoughtful expressions!! U bring me joy! 💪🏽💜💪🏽💜💪🏽💜💪🏽💜💪🏽,1388611461891727360,Carole Davis,0,1,2,0,"[-87.899175, 41.753685]","Countryside, IL",0,47,64,1,staff obama learning academy 2nd none thank bola love thoughtful expressions u bring joy 💪🏽💜💪🏽💜💪🏽💜💪🏽💜💪🏽,the staff obama learn academy is 2nd to non thank you for the bola lov and thoughtful expression u br me joy 💪🏽💜💪🏽💜💪🏽💜💪🏽💜💪🏽,"['flexed_biceps_medium_skin_tone', 'purple_heart', 'flexed_biceps_medium_skin_tone', 'purple_heart', 'flexed_biceps_medium_skin_tone', 'purple_heart', 'flexed_biceps_medium_skin_tone', 'purple_heart', 'flexed_biceps_medium_skin_tone']"
1926,2021-05-01T20:01:44+00:00,"@ETSshow @gradydoctor @RebeccaEBerger @ESilvermanMD @ACPinternists @RanaAwdish @SocietyGIM @SocietyHospMed @AAIMOnline @AAMCtoday I hear you - but without purchasing full buffet access (h/t @yejnes), most will only buy @gradydoctor prime rib a la carte. 🥰😂 I'm only half kidding - I find part of the joy of our conferences to be the discovery of + engagement with less prominent actors. That’s the tradeoff.",1388584441828810754,"Ali Khan, MD, MPP",1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,4348,3474,1,etsshow gradydoctor rebeccaeberger esilvermanmd acpinternists ranaawdish societygim societyhospmed aaimonline aamctoday hear without purchasing full buffet access ht yejnes buy gradydoctor prime rib la carte 🥰😂 im half kidding find part joy conferences discovery engagement less prominent actors ’ tradeoff,etsshow gradydoctor rebeccaeberger esilvermanmd acpinternist ranaawdish societygim societyhospmed aaimonlin aamctoday i hear you but without purchas full buffet acces ht yejne most will only buy gradydoctor prim rib a la cart 🥰😂 im only half kidd i find part of the joy of our conference to be the discovery of engagement with les prominent actor that ’ s the tradeoff,"['smiling_face_with_hearts', 'face_with_tears_of_joy']"
2460,2021-05-01T18:51:16+00:00,@MonocleMan1 @BullandBaird The Trigonometry of Joy is huge in Japan.,1388566710416986121,Brian Portnoy,2,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,12996,1338,1,monocleman1 bullandbaird trigonometry joy huge japan,monocleman1 bullandbaird the trigonometry of joy is hug in japan,[]
2676,2021-05-01T18:24:23+00:00,My favorite is still Melissa and all the puppies. Pure joy! 🐶🐶🐶🐶 https://t.co/pYLRm47pVH https://t.co/41GST5JC2g,1388559944853696513,Sonya Olds Som (she/her/hers),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,15238,3594,1,favorite still melissa puppies pure joy 🐶🐶🐶🐶,my favorit is still melissa and all the puppie pur joy 🐶🐶🐶🐶,"['dog_face', 'dog_face', 'dog_face', 'dog_face']"
3845,2021-05-01T16:00:27+00:00,"Go set the world on fire with the love and joy of the Gospel, dear brothers! https://t.co/1ya4cjvUjp",1388523723582488579,Fr. Bradley Zamora,0,1,7,0,"[-87.733451, 42.0191507]","Evanston, IL",0,1238,375,1,go set world fire love joy gospel dear brothers,go set the world on fir with the lov and joy of the gospel dear brother,[]
8939,2021-05-02T23:17:59+00:00,Joy is overhearing your 9 yo daughter ask Alexa to play Back in Black by AC/DC,1388996219914145793,Jason Wright,0,0,3,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,168,918,1,joy overhearing 9 yo daughter ask alexa play back black acdc,joy is overhear your 9 yo daughter ask alexa to play back in black by acdc,[]
8969,2021-05-02T23:14:44+00:00,@subbyfootboy93 @victorianfeet It was my pleasure! You are a joy to be around. Loved our little picnic brunch today 😘😘 And thank you! Local SIMPs and service subs make my life a zillion times easier particularly while traveling especially when they’re fun to hang out with like you.,1388995401974493193,FOXX,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,4727,1516,1,subbyfootboy93 victorianfeet pleasure joy around loved little picnic brunch today 😘😘 thank local simps service subs make life zillion times easier particularly traveling especially ’ fun hang like,subbyfootboy93 victorianfeet it was my pleasur you are a joy to be around loved our littl picnic brunch today 😘😘 and thank you local simp and servic sub mak my lif a zillion time easier particularly whil travel especially when they ’ re fun to hang out with lik you,"['face_blowing_a_kiss', 'face_blowing_a_kiss']"
9231,2021-05-02T22:40:43+00:00,Pure Joy. @ Kathy Osterman Beach https://t.co/5SxYCMdNw5,1388986839231569923,Steve Satek,0,0,0,0,"[-87.65306711, 41.98743941]","Chicago, IL",0,77,87,1,pure joy kathy osterman beach,pur joy kathy osterman beach,[]
9541,2021-05-02T21:58:38+00:00,"He gave all Chelsea fans joy, including. Abi na Sam Kerr give you joy? 🤣😂🤣🤣🤣 https://t.co/W7qCKEA0r5",1388976248706187271,Abiola,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,753,884,1,gave chelsea fans joy including abi na sam kerr give joy 🤣😂🤣🤣🤣,he gav all chelsea fan joy includ abi na sam kerr giv you joy 🤣😂🤣🤣🤣,"['rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'rolling_on_the_floor_laughing', 'rolling_on_the_floor_laughing', 'rolling_on_the_floor_laughing']"
9944,2021-05-02T21:03:38+00:00,"Lampard in Chelsea as a whole gave you more joy, no dey shift post to Shalaye 🤣😂🤣😂😂

In Chelsea’s history, everyone will call Lampard before they even remember that chain smoking fraud 🤣😂😂 https://t.co/GxQBn6u1uh",1388962407905628167,Abiola,1,0,0,1,"[-87.940033, 41.644102]","Chicago, IL",0,753,884,1,lampard chelsea whole gave joy dey shift post shalaye 🤣😂🤣😂😂in chelsea ’ history everyone call lampard even remember chain smoking fraud 🤣😂😂,lampard in chelsea as a whol gav you mor joy no dey shift post to shalay 🤣😂🤣😂😂in chelsea ’ s history everyon will call lampard befor they even remember that chain smok fraud 🤣😂😂,"['rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
9994,2021-05-02T20:55:57+00:00,"Lmaooooooooo you’re damn liar if you’re really saying Lampard didn’t much joy than Sarri

We lost the super cup via penalties, we had injuries in the FA cup final, with a red card. Please which one is the 3rd final, I see you added one just cos of agenda must agend 🤣😂🤣 https://t.co/OrdJm0fPhn",1388960474000236546,Abiola,0,0,0,1,"[-87.940033, 41.644102]","Chicago, IL",0,753,884,1,lmaooooooooo ’ damn liar ’ really saying lampard ’ much joy sarriwe lost super cup via penalties injuries fa cup final red card please one 3rd final see added one cos agenda must agend 🤣😂🤣,lmaooooooooo you ’ re damn liar if you ’ re really say lampard didn ’ t much joy than sarriw lost the super cup via penaltie we had injurie in the fa cup final with a red card pleas which one is the 3rd final i see you added one just cos of agenda must agend 🤣😂🤣,"['rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'rolling_on_the_floor_laughing']"
10031,2021-05-02T20:51:22+00:00,Show some respect to the club legend lmaooooo. I’m pretty sure Lampard gave you way more joy than one Italian chain smoker 🤣😂🤣🤣🤣🤣 https://t.co/VALETNLogQ,1388959322701549575,Abiola,0,0,0,1,"[-87.940033, 41.644102]","Chicago, IL",0,753,884,1,show respect club legend lmaooooo ’ pretty sure lampard gave way joy one italian chain smoker 🤣😂🤣🤣🤣🤣,show som respect to the club legend lmaooooo i ’ m pretty sur lampard gav you way mor joy than one italian chain smoker 🤣😂🤣🤣🤣🤣,"['rolling_on_the_floor_laughing', 'face_with_tears_of_joy', 'rolling_on_the_floor_laughing', 'rolling_on_the_floor_laughing', 'rolling_on_the_floor_laughing', 'rolling_on_the_floor_laughing']"
10140,2021-05-02T20:34:48+00:00,Dumb looking dogs bring me the greatest joy,1388955152443379715,darkwench,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,49,93,1,dumb looking dogs bring greatest joy,dumb look dog br me the greatest joy,[]
10521,2021-05-02T19:47:12+00:00,@reservoirpawgs Just pure joy over here,1388943173595062274,Fat Blout Fall,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,677,559,1,reservoirpawgs pure joy,reservoirpawg just pur joy over her,[]
10644,2021-05-02T19:31:34+00:00,@catfashionshow The photo widget is an endless source of joy. https://t.co/QhzIMxMoEm,1388939237765128194,princess mickey「ミッキー@DRS」,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1515,1124,1,catfashionshow photo widget endless source joy,catfashionshow the photo widget is an endles sourc of joy,[]
11060,2021-05-02T18:41:01+00:00,Their looking up all the TCG packs because late stage capitalism sucks the joy out of all things. https://t.co/DelkTQXU9I,1388926516147404801,LL Cool Whip,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,403,1462,1,looking tcg packs late stage capitalism sucks joy things,their look up all the tcg pack becaus lat stag capitalism suck the joy out of all thing,[]
11063,2021-05-02T18:40:23+00:00,Following this whole thing brought me joy 😂 https://t.co/Ae8zbDdrzg,1388926357149786116,Brandon Pope TV,1,3,19,0,"[-87.940033, 41.644102]","Chicago, IL",0,12606,5748,1,following whole thing brought joy 😂,follow thi whol th brought me joy 😂,['face_with_tears_of_joy']
12245,2021-05-02T16:07:20+00:00,Joy District / 6pm,1388887840306651139,#TheMileHighClub,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,4080,840,1,joy district 6pm,joy district 6pm,[]
12639,2021-05-02T15:17:52+00:00,"That is why I intercede for the sick more than anything. ANY FORM of sickness can sweep the joy out of everything you do, just because the body and mind is not in perfect health. 
That same power that raises Jesus from the dead will surely revive anyone who needs healing. Amen 🙏🏻",1388875393256546304,Chidi BSN| MPH,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,311,288,1,intercede sick anything form sickness sweep joy everything body mind perfect health power raises jesus dead surely revive anyone needs healing amen 🙏🏻,that is why i interced for the sick mor than anyth any form of sicknes can sweep the joy out of everyth you do just becaus the body and mind is not in perfect health that sam power that raise jesu from the dead will surely reviv anyon who need heal amen 🙏🏻,['folded_hands_light_skin_tone']
13180,2021-05-02T14:05:42+00:00,Emma Hayes is a joy https://t.co/SI2JrIVk8V,1388857230078922758,Serge,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,193,875,1,emma hayes joy,emma haye is a joy,[]
16106,2021-05-02T00:31:35+00:00,"Pain= living on the 3rd floor, being in your nightgown and hearing the ice cream truck finally* in your predominantly white neighborhood 

Joy= realizing you prepared for this and have 4 types of ice cream in your freezer to soothe that initial pain",1388652354258579460,Gwen Spliffani,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,899,904,1,pain living 3rd floor nightgown hearing ice cream truck finally predominantly white neighborhood joy realizing prepared 4 types ice cream freezer soothe initial pain,pain liv on the 3rd floor be in your nightgown and hear the ice cream truck finally in your predominantly whit neighborhood joy realiz you prepared for thi and hav 4 type of ice cream in your freezer to sooth that initial pain,[]
