,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
1470,2020-11-01T22:41:20+00:00,"It would be really nice to have @DrBiden as our #FLOTUS . A woman of grace, dignity and joy. #WeNeedAChange #MajorBiden #JillBiden #sunshine #joy #BringBackTheLove",1323032403359764480,Mary Kay McCaw,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['FLOTUS', 'WeNeedAChange', 'MajorBiden', 'JillBiden', 'sunshine', 'joy', 'BringBackTheLove']",127,982,1
1604,2020-11-01T22:31:30+00:00,Everyone’s Halloween pics are so cute. The household photo shoots and proud selfies are so sweet and I love to see your joy!!,1323029927176884225,shmeemy weemy 🪱,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",0,659,450,1
1881,2020-11-01T22:12:24+00:00,i asked for no ice and the people at joy yee said they dont do that anymore ............. https://t.co/bqGGFav112,1323025122173792265,pump-jin pie 🥧,2,1,10,0,"[-87.940033, 41.644102]","Chicago, IL",0,385,795,1
2348,2020-11-01T21:44:56+00:00,A bit of joy in 2020. https://t.co/lDQqnbbkZ6,1323018208895471618,James Mueller,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,45,147,1
3206,2020-11-01T20:39:23+00:00,@monicasayshey @lupitaorozco_ literally you both are a huge bundle of joy. looking great ladies ☺️💞,1323001714220371971,jen,2,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,476,221,1
3584,2020-11-01T20:03:23+00:00,SOME JOY FOR THE TIMELINE! 💖💖💖💖💖💖 https://t.co/0RpgrEi2Pe,1322992653068357634,travis “its scorpio szn” fiero,0,0,13,0,"[-87.940033, 41.644102]","Chicago, IL",0,2950,1248,1
4950,2020-11-01T18:18:37+00:00,I just cried tears of joy https://t.co/rrROda1P7J,1322966288042463233,Storm Grayson,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,949,738,1
5143,2020-11-01T18:03:47+00:00,tears of joy,1322962555141267458,Gabriel David,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,297,488,1
7911,2020-11-01T14:19:50+00:00,@_juicehuncho What a JOY!!!,1322906196936974343,KANDY🕷🎃 🦇,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,16943,931,1
8189,2020-11-01T13:50:59+00:00,@EnglandRugby @tomdunn92 I’m crying with tears of joy for this Lad! Congratulations on your accomplishment!,1322898938740002817,Jumbo,0,0,2,0,"[-87.8321527, 41.816203]","Riverside, IL",0,483,1519,1
10497,2020-11-01T03:54:54+00:00,Joy #O-H,1322748927117053953,Robert Patrick,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['O'],182,240,1
11484,2020-11-01T02:33:52+00:00,"Hipster Witch? Stevie Nicks? Or just a vibe? Finding space to smile, enjoy this life we’ve been given, and let joy come through today. Have a Happy and Safe Halloween friends! 🖤
#happyhalloween @ Chicago, Illinois https://t.co/CnVTcWpSFd",1322728536139014144,Mackenzie Nilsen (she/her),0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",['happyhalloween'],479,457,1
11503,2020-11-01T02:32:17+00:00,"#joy is part of fighting for #justice. #HappyHalloween2020 

Son ❤️ skyscrapers &amp; wife hand 🧵family skyline. #Taipei101, Chrysler Building Guggenheim Museum https://t.co/XGv6DyBfCr",1322728136375734280,Jen Brown,4,1,29,0,"[-87.940033, 41.644102]","Chicago, IL","['joy', 'justice', 'HappyHalloween2020', 'Taipei101']",1553,1669,1
11772,2020-11-01T02:11:19+00:00,"Our Trunk or Treat Celebration was a huge success thanks to the parent mentors, PTA, staff, volunteers and admin team. Bringing the joy even in a pandemic 💙I don’t own the rights to this music https://t.co/umhvNdKnIb",1322722859228319744,Stacy Stewart,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",0,954,766,1
12991,2020-11-01T00:22:12+00:00,Rockin the candy chute. It’s been a tough year for the kids so I’m eating all the Almond Joy to ensure trick-or-treaters leave this house disappointed. Just doing my part. #HappyHalloween https://t.co/HC5SxbYrCI,1322695399103254529,Paul Seidler,0,0,13,0,"[-87.940033, 41.644102]","Chicago, IL",['HappyHalloween'],987,792,1
13705,2020-11-02T23:24:14+00:00,"@KathyKTLC Hi Kathy- hanging in there- praying for a new beginning after tomorrow’s vote.  I hope that you and your family and friends are healthy.  Stay well and committed to peace, love and joy! 😷",1323405586780872704,Dbeem,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,301,1055,1
13708,2020-11-02T23:23:57+00:00,"You ever breakdown crying tears of pure joy for completing a lifetime of training that your ancestors (Slaves,  Indigenous, and poor Whites) have been locked out of since the founding of this country?  I sure just did! #firstgen #MedTwitter",1323405517612584961,"Nicole R. Jackson, MD, MPH, FASCP (she/her)",13,6,165,3,"[-87.940033, 41.644102]","Chicago, IL","['firstgen', 'MedTwitter']",3604,3151,1
14279,2020-11-02T22:32:52+00:00,My mom’s use of emojis and Bitmoji brings me absolute joy,1323392662247006212,Christine Domino,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,604,1151,1
14581,2020-11-02T22:05:48+00:00,Pure joy❤️ https://t.co/HivUtPqCr5,1323385849980035072,𝐀𝐥𝐰𝐚𝐲𝐬 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠🤔,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,4212,4231,1
15303,2020-11-02T21:01:53+00:00,@thecompoundpod AGREED.... and I was raised in Cleveland. It just had to the Cubs.... the Joy all around was absolutely incredible.  Again please.,1323369765474369536,CaseyButz,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,26,219,1
15365,2020-11-02T20:56:35+00:00,sometimes twitter brings me great joy,1323368430054105089,Patty Cake,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,79,674,1
15379,2020-11-02T20:55:09+00:00,@LilNasX You were part of a movement to celebrate Halloween safely and happily. You brought joy to my heart.,1323368069926920193,Chyra10/23/82 💖blm💗tblm💗gblm🇳🇬endsars,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,122,723,1
16326,2020-11-02T19:39:59+00:00,@kyliecallura Oh no don’t feel bad please laughing your ass off. If my pain can bring joy it’s worth it,1323349154773536769,Jenna Duddleston,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1475,805,1
17920,2020-11-02T17:22:47+00:00,"@SCPrice5 @mooncerer @JanPark05778117 @cpa_girl99 @blainekell6 @nixw20 @eilgarden @AlexaJaar1013 @EdBlackEsq @LisaRacer2 @scifibird @LouGarza86 @KarenBarryDavi1 @sandra_9224 @ColelliCol @izzysick101 @Y2ktagAdam @FoxyJackieBrown @AdamdumDuman I know you just shake
 your heads and turn and roll
Your eyes to a book or your
 knitting or Joy Reed Or Nicole
Wallace

BUT IM AM HERE

Let's go #VoteLikeYourLifeDependsOnIt
#VoteBidenHarrisToSaveAmerica
#TrumpMeltdown https://t.co/YeeYbt1dfd",1323314628043116544,Grant Noland Jr.,2,3,5,0,"[-87.940033, 41.644102]","Chicago, IL","['VoteLikeYourLifeDependsOnIt', 'VoteBidenHarrisToSaveAmerica', 'TrumpMeltdown']",25458,26127,1
19722,2020-11-02T14:46:10+00:00,"At home, crying tears of joy @Cubs https://t.co/2lj0ys2v2r",1323275212297773057,Lyzmaniac,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,955,3368,1
22718,2020-11-02T03:42:35+00:00,@michellelrhodes I have a very supportive husband. I was not always a joy to deal with..,1323108216306360322,"Sara, hold the H",0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,695,985,1
23250,2020-11-02T02:55:00+00:00,"I have a law degree, I have a bachelor's,  I can practice under license of lawyer as an attorney and I have no children and such a joy to be around, my life has no baggage and my family is successful as well, I can wait for right man because success in life taught me how to",1323096239764897798,🎧Ms Darse J 1982🎧,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,118,128,1
23260,2020-11-02T02:54:30+00:00,"@nee_tettey They don't know joy - soulless creatures! And, we won't allow them to steal ours.",1323096114569072640,"Walter Taylor, NBCT",0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,192,358,1
24029,2020-11-02T01:49:19+00:00,@Gervontaa You literally are the goat mfs sleep but you waking they ass up don’t let people still your joy !!! For goodness sake you the champ 🦍🦍🦍🦍🦍 #theone,1323079713007587329,Soo Ambitious,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['theone'],42,186,1
24836,2020-11-02T00:57:40+00:00,I hate when I call both my parents and neither one picks up. What could you possibly be doing that’s more important than talking to your pride and joy???,1323066712422551555,Nina,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,380,150,1
26170,2020-11-03T23:52:31+00:00,Joy. https://t.co/yZUl96k3EJ,1323775093995089920,H&R Glaucoma,1,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",0,488,333,1
26446,2020-11-03T23:37:03+00:00,"I’m feeling anxious so I’m distracting myself with what brings me joy.. Like sending Amari #Descendants clothing cause she loves them so much. (Even though the smallest size is always 4 &amp; she’s barely 2) 😂 
She opened the box &amp; immediately wanted to put it on &amp; said “look Titi” https://t.co/JhqcfvEBcs",1323771201005752320,Ash Kay,2,0,19,0,"[-87.940033, 41.644102]","Chicago, IL",['Descendants'],2489,649,1
27667,2020-11-03T22:17:50+00:00,congrats ms Joy!! 💕 https://t.co/ia2bFDB6ME,1323751265323655169,Camryn Bridges,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,155,112,1
29860,2020-11-03T19:42:58+00:00,"@meSonyaB @artsyboy1985 @LSD122070 I have to have my Nicolle, Rachel, and Joy. I’ll just hit mute when Kornacki is on.",1323712293956395008,PegH in The Sloop💛🐝,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,4341,4929,1
31687,2020-11-03T17:33:26+00:00,"@CMPunk pain, suffering, eventually joy.",1323679693942497280,Gabriel David,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,297,488,1
31925,2020-11-03T17:16:22+00:00,"@noesym May I, please? It will bring me immense joy",1323675400044761088,Averi Thomas-Moore (she/her),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1012,4954,1
32037,2020-11-03T17:09:57+00:00,Some joy for your #ElectionDay timeline. https://t.co/o1zk7VJjtK,1323673782234599426,Courtney Kueppers,0,1,0,0,"[-87.67403650229355, 41.88140096800735]",United Center,['ElectionDay'],2020,1398,1
32737,2020-11-03T16:25:27+00:00,"(thank you for coming to my cat thread, I hope my babies have given you some joy on this otherwise fearful, fateful, and overwrought Tuesday)
...
(ps #VoteBiden or the cats hate you) https://t.co/KWJYEEdT9t",1323662587427508224,"Carolyn Ownbey, PhD🧟‍♀️🌈",1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['VoteBiden'],876,487,1
32899,2020-11-03T16:15:50+00:00,Joy to the polls! Power to the people! https://t.co/5GdkVfkhZZ,1323660164885581825,Delia Cosentino 👁,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,433,558,1
33481,2020-11-03T15:40:06+00:00,#ListentoBlackWomen. Joy today &amp; every day. Joy must be part of justice. https://t.co/5HWzcBHhd4,1323651174768234496,Jen Brown,0,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",['ListentoBlackWomen'],1553,1669,1
33727,2020-11-03T15:25:01+00:00,"If you are dancing while in line to vote, post it! And if you aren’t dancing, let’s dance. We need all the joy we can get! @MSNBC @CNNPolitics @detroitnews @MiamiHerald @GeorgiaDemocrat @azdemparty @PADems",1323647378142932992,Janie Garb,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,336,706,1
35380,2020-11-03T13:27:15+00:00,"So much joy! #autumn #leafpiles 🍁🍂🌾 @ Oak Park, Illinois https://t.co/ebgh3pmSWP",1323617740020592640,🕸🕷OakParkGirl 🕷🕸,0,0,0,0,"[-87.7903, 41.886]","Oak Park, IL","['autumn', 'leafpiles']",2158,185,1
