Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
389197,2020-10-30T15:35:29+00:00,"Just got yelled at by my 3 year old for singing head, shoulders, knees and toes, hby?",1322200460669997057,🥀 𝓁𝒾𝓁 𝓁ℴ𝓈𝓉 𝓃 𝒻ℴ𝓊𝓃𝒹 🥀,0,0,1,0,"[-87.8526405, 41.9083173]","River Grove, IL",0,166,189,0,got yelled 3 year old singing head shoulders knees toes hby,just got yelled at by my 3 year old for sing head shoulder knee and toe hby,[]
224793,2020-10-18T23:10:30+00:00,Ur telling me the jets scored.... 0 points.... zilch... nada.... I need to start requesting off sundays!!!,1317966313197895688,huntress🏹,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,728,1072,0,ur telling jets scored 0 points zilch nada need start requesting sundays,ur tell me the jet scored 0 point zilch nada i need to start request off sunday,[]
190536,2020-10-15T19:34:54+00:00,I paid it forward! Join me if you can 🤘🏽♥️ https://t.co/RbleRgxPNb,1316824891749019658,Crampus 🤶🏼✨THE REAL CHUBBS PECKERTON 👑,1,5,15,1,"[-87.940033, 41.644102]","Chicago, IL",0,767,382,0,paid forward join 🤘🏽♥️,i paid it forward join me if you can 🤘🏽♥️,"['sign_of_the_horns_medium_skin_tone', 'heart_suit']"
100036,2020-10-08T16:24:34+00:00,@sophnymph woooow!!!!,1314240280166629376,mosquito taquito,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,388,478,0,sophnymph woooow,sophnymph woooow,[]
87582,2020-10-07T14:49:53+00:00,@Experiment_318 Ewww Pisces 😂,1313854064988508160,David Ramirez,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,34,58,0,experiment318 ewww pisces 😂,experiment318 ewww pisce 😂,['face_with_tears_of_joy']
375209,2020-10-29T16:18:16+00:00,"Listen to @ggreenwald on Rogan and Joe’s instincts are right: Biden represents the worst of the elites reassuming control of the world. Not sure if he’s blackpilled enough to understand that although trump may be an outsider, he’s not an improvement; ie: we’re all truly fucked.",1321848837179383811,GarmonBrozia da Intersectional Skynet,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,2269,3253,0,listen ggreenwald rogan joe ’ instincts right biden represents worst elites reassuming control world sure ’ blackpilled enough understand although trump may outsider ’ improvement ie ’ truly fucked,listen to ggreenwald on rogan and joe ’ s instinct are right biden represent the worst of the elite reassum control of the world not sur if he ’ s blackpilled enough to understand that although trump may be an outsider he ’ s not an improvement ie we ’ re all truly fucked,[]
84474,2020-10-07T19:09:12+00:00,https://t.co/MWT8Od2DcS,1313919320720900098,blockheadblockstar.,0,4,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,344,253,0,,,[]
128522,2020-10-10T21:23:32+00:00,@4playygrl I’m drinking and painting!,1315040291703881728,Mr. 6'3,0,0,0,0,"[-87.898589, 41.870812]","Bellwood, IL",0,8470,2122,0,4playygrl ’ drinking painting,4playygrl i ’ m drink and paint,[]
161035,2020-10-12T03:14:29+00:00,No lies told‼️‼️‼️ https://t.co/4TV9Y8WKE6,1315490997963497473,Tom Lusinski,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,221,1570,0,lies told‼️‼️‼️,no lie told‼️‼️‼️,"['double_exclamation_mark', 'double_exclamation_mark', 'double_exclamation_mark']"
317823,2020-10-25T20:19:01+00:00,I’m beyond honored. Thank you!! https://t.co/eLsuklSJoy,1320459871926603779,Lindsay Currie,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,12129,4835,0,’ beyond honored thank,i ’ m beyond honored thank you,[]
240332,2020-10-19T18:47:18+00:00,My friend 🥰🥰 https://t.co/twIwbeU68h,1318262467047424003,💚,1,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,3175,1550,0,friend 🥰🥰,my friend 🥰🥰,"['smiling_face_with_hearts', 'smiling_face_with_hearts']"
91270,2020-10-07T03:33:28+00:00,KCP doing his part!,1313683837512232961,the wizard,0,0,0,0,"[-87.721809, 41.706027]","Evergreen Park, IL",0,75,84,0,kcp part,kcp do his part,[]
75373,2020-10-06T13:43:00+00:00,Please do! My grandpa died of cancer  it almost  2 late https://t.co/VxgdQXIZZK,1313474841840943110,Gabriel D. Silva NFL screwed Bears,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1980,2280,0,please grandpa died cancer almost 2 late,pleas do my grandpa died of cancer it almost 2 lat,[]
301857,2020-10-23T01:22:37+00:00,Trump be like “ 👐🏻🙌🏻”,1319449112450826245,¯\_(ツ)_/¯,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,375,1778,0,trump like “ 👐🏻🙌🏻 ”,trump be lik “ 👐🏻🙌🏻 ”,"['open_hands_light_skin_tone', 'raising_hands_light_skin_tone']"
